iter	RMSE
0	7351.432092
1	6948.32777
2	6603.801685
3	6311.148855
4	6049.602767
5	5799.262689
6	5515.776596
7	5267.230306
8	5054.736522
9	4871.886534
10	4699.785096
11	4564.794693
12	4443.921116
13	4341.020249
14	4249.109582
15	4167.094007
16	4091.478064
17	4033.478809
18	3975.093607
19	3922.207787
20	3882.358299
21	3841.973737
22	3806.197765
23	3774.264947
24	3744.004634
25	3719.677736
26	3697.015816
27	3670.497721
28	3647.655972
29	3628.930857
30	3612.074168
31	3597.464602
32	3586.186782
33	3573.948096
34	3561.562994
35	3549.389706
36	3536.021835
37	3517.904411
38	3500.222331
39	3489.997915
40	3480.530034
41	3469.638457
42	3463.412248
43	3454.14889
44	3445.992123
45	3439.160435
46	3433.250545
47	3418.086515
48	3412.839411
49	3406.561877
50	3394.520685
51	3390.507574
52	3383.308858
53	3377.062445
54	3371.661186
55	3361.794127
56	3355.727092
57	3351.99114
58	3347.929522
59	3344.471599
60	3340.264946
61	3335.691388
62	3331.983331
63	3324.230652
64	3318.271833
65	3315.297164
66	3307.627797
67	3304.250877
68	3300.025304
69	3296.785033
70	3292.457772
71	3288.103902
72	3285.000131
73	3281.712192
74	3277.150279
75	3274.191392
76	3268.973293
77	3264.419399
78	3262.066169
79	3259.490836
80	3255.689086
81	3251.405568
82	3247.914413
83	3246.927081
84	3245.062003
85	3241.908395
86	3239.323983
87	3236.933627
88	3233.531875
89	3230.344109
90	3227.46183
91	3224.636472
92	3222.264987
93	3220.891547
94	3217.301793
95	3215.182902
96	3212.228261
97	3206.542492
98	3205.906438
99	3203.776178
