iter	Passed	Remaining
0	139	13830
1	178	8728
2	231	7497
3	287	6901
4	324	6166
5	357	5596
6	390	5182
7	426	4909
8	457	4630
9	491	4422
10	527	4265
11	561	4116
12	593	3972
13	625	3844
14	659	3735
15	691	3630
16	723	3531
17	754	3437
18	789	3367
19	820	3280
20	852	3206
21	885	3138
22	921	3084
23	954	3022
24	984	2953
25	1016	2892
26	1053	2847
27	1089	2802
28	1120	2742
29	1154	2694
30	1194	2658
31	1231	2616
32	1266	2571
33	1299	2522
34	1332	2474
35	1361	2420
36	1392	2371
37	1425	2326
38	1457	2280
39	1488	2233
40	1522	2191
41	1553	2145
42	1585	2101
43	1616	2057
44	1648	2014
45	1680	1972
46	1714	1933
47	1748	1893
48	1779	1852
49	1817	1817
50	1852	1779
51	1895	1749
52	1938	1718
53	1976	1683
54	2018	1651
55	2057	1616
56	2096	1581
57	2130	1542
58	2171	1509
59	2208	1472
60	2237	1430
61	2279	1397
62	2349	1379
63	2387	1342
64	2418	1302
65	2447	1260
66	2477	1220
67	2505	1179
68	2532	1138
69	2560	1097
70	2594	1059
71	2623	1020
72	2657	982
73	2684	943
74	2822	940
75	2891	913
76	2942	879
77	2991	843
78	3023	803
79	3054	763
80	3080	722
81	3110	682
82	3139	642
83	3168	603
84	3198	564
85	3226	525
86	3255	486
87	3284	447
88	3311	409
89	3346	371
90	3376	333
91	3406	296
92	3435	258
93	3462	221
94	3493	183
95	3520	146
96	3547	109
97	3576	72
98	3604	36
99	3637	0
